REF,ROD,HORA,JOGO,ESTÁDIO,CIDADE,UF,DATA,DIA,TimeMandante,UF_M,Gols_M,Gols_V,TimeVisitante,UF_V,GolMandante,GolVisitante,ROD_NUM
350,35ª,19:30,Juventude                     RS  1  x  1  Cuiabá                          MT,Alfredo Jaconi,Caxias do Sul,RS,2025-11-23 00:00:00,sab,Juventude,RS,1,1,Cuiabá,MT,Juventude RS - 1,Cuiabá MT - 1,35
347,35ª,21:30,São Paulo                     SP  2  x  2  Atlético                         MG,Morumbis,São Paulo,SP,2025-11-23 00:00:00,sab,São Paulo,SP,2,2,Atlético,MG,São Paulo SP - 2,Atlético MG - 2,35
341,35ª,16:00,Internacional                 RS  4  x  1  Red Bull Bragantino    SP,Beira-Rio,Porto Alegre,RS,24/11,dom,Internacional,RS,4,1,Red Bull Bragantino,SP,Internacional RS - 4,Red Bull Bragantino SP - 1,35
343,35ª,16:00,Bahia                            BA  1  x  1  Athletico                       PR,Arena Fonte Nova,Salvador,BA,24/11,dom,Bahia,BA,1,1,Athletico,PR,Bahia BA - 1,Athletico PR - 1,35
346,35ª,16:00,Corinthians                   SP  3  x  1  Vasco da Gama           RJ,Neo Química Arena,São Paulo,SP,24/11,dom,Corinthians,SP,3,1,Vasco da Gama,RJ,Corinthians SP - 3,Vasco da Gama RJ - 1,35
344,35ª,19:00,Fluminense                   RJ  0  x  0  Criciúma                       SC,Maracanã,Rio de Janeiro,RJ,26/11,ter,Fluminense,RJ,0,0,Criciúma,SC,Fluminense RJ - 0,Criciúma SC - 0,35
348,35ª,20:00,Fortaleza                      CE  0  x  0  Flamengo                     RJ,Arena Castelão,Fortaleza,CE,26/11,ter,Fortaleza,CE,0,0,Flamengo,RJ,Fortaleza CE - 0,Flamengo RJ - 0,35
342,35ª,21:00,Cruzeiro                        MG 1  x  1  Grêmio                         RS,Mineirão,Belo Horizonte,MG,27/11,qua,Cruzeiro,MG,1,1,Grêmio,RS,Cruzeiro MG - 1,Grêmio RS - 1,35
352,36ª,21:30,Atlético                          MG 2  x  3  Juventude                    RS,Arena Independência,Belo Horizonte,MG,26/11,ter,Atlético,MG,2,3,Juventude,RS,Atlético MG - 2,Juventude RS - 3,36
356,36ª,21:30,Palmeiras                     SP  1  x  3  Botafogo                      RJ,Allianz Parque,São Paulo,SP,26/11,ter,Palmeiras,SP,1,3,Botafogo,RJ,Palmeiras SP - 1,Botafogo RJ - 3,36
359,36ª,19:30,Cuiabá                          MT  1  x  2  Bahia                            BA,Arena Pantanal,Cuiabá,MT,26/11,ter,Cuiabá,MT,1,2,Bahia,BA,Cuiabá MT - 1,Bahia BA - 2,36
